id,name,label,type,required,static,options,placeholder,created_at,updated_at
,,project_name,Project Name,text,0,1,,,,
,,business_name,Business Name,text,0,1,,,,
,,inspection_type,Inspection Type,text,0,1,,,,
,,inspection_date,Inspection Date,date,0,1,,,,
,,inspector,Inspector,text,0,1,,,,
,,address,Address,text,0,1,,,,
,,unit,Unit,text,0,1,,,,
,,building_visual_unit,Building Visual Unit,text,0,1,,,,
,,street,Street,text,0,1,,,,
,,building,Building,text,0,1,,,,
,,phase,Phase,text,0,1,,,,
,,plan_type,Plan Type,text,0,1,,,,
,,design_type,Design Type,text,0,1,,,,
,,ppt,PPT,text,0,1,,,,
,,exemplar,Exemplar,text,0,1,,,,
,,issue,Issue,textarea,0,1,,,,
,,cladding,Cladding,text,0,1,,,,
,,component,Component,text,0,1,,,,
,,observation,Observation,textarea,0,1,,,,
,,room,Room,text,0,1,,,,
,,elevation,Elevation,text,0,1,,,,
,,location,Location,text,0,1,,,,
,,extent,Extent,text,0,1,,,,
,,lf,LF,number,0,1,,,,
,,sf,SF,number,0,1,,,,
,,count_total,Count (Total),number,0,1,,,,
,,penetration_type,Penetration Type,text,0,1,,,,
,,window_type,Window Type,text,0,1,,,,
,,door_type,Door Type,text,0,1,,,,
,,photo_path,Photo Path,text,0,1,,,,

